,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,1653.0,3986.0,14146.0,17843.0,8535.0,1095.0,448.0,47706.0
1999,188.0,469.0,82.0,382.0,856.0,1757.0,3465.0,11933.0,14455.0,8354.0,1434.0,475.0,43850.0
2000,266.0,89.0,114.0,253.0,914.0,2556.0,2530.0,6995.0,10117.0,9038.0,1149.0,372.0,34393.0
2001,182.0,109.0,69.0,304.0,713.0,3606.0,3242.0,9541.0,16623.0,7702.0,1834.0,609.0,44534.0
2002,368.0,355.0,391.0,777.0,1884.0,4210.0,7462.0,17815.0,30105.0,16744.0,5273.0,1802.0,87186.0
2003,654.0,587.0,472.0,1052.0,2475.0,7079.0,10477.0,10140.0,29227.0,15008.0,4763.0,2179.0,84113.0
2004,452.0,376.0,773.0,970.0,2975.0,7047.0,8804.0,12473.0,33509.0,15148.0,8243.0,2792.0,93562.0
2005,587.0,869.0,536.0,1071.0,1968.0,3383.0,7454.0,14627.0,24521.0,23550.0,5251.0,1930.0,85747.0
2006,1001.0,413.0,498.0,584.0,1650.0,3415.0,6442.0,11705.0,16566.0,7524.0,5274.0,1808.0,56880.0
2007,755.0,402.0,1118.0,964.0,2924.0,7051.0,10548.0,35678.0,49980.0,22008.0,4939.0,1551.0,137918.0
2008,421.0,321.0,339.0,590.0,1320.0,2632.0,5229.0,8643.0,15477.0,17024.0,5486.0,1452.0,58934.0
2009,676.0,403.0,461.0,448.0,836.0,1641.0,4224.0,6492.0,9851.0,5526.0,4195.0,1146.0,35899.0
2010,717.0,751.0,883.0,1438.0,2508.0,6443.0,12359.0,35226.0,52491.0,14419.0,4623.0,1536.0,133394.0
2011,456.0,321.0,308.0,703.0,1376.0,3378.0,5366.0,11387.0,26468.0,7656.0,2889.0,1374.0,61682.0
2012,421.0,478.0,764.0,1092.0,1896.0,3817.0,9362.0,22737.0,30053.0,16515.0,1830.0,1635.0,90600.0
2013,475.0,604.0,613.0,706.0,1418.0,2684.0,4761.0,8496.0,12615.0,7696.0,2370.0,1579.0,44017.0
2014,567.0,315.0,497.0,897.0,1673.0,3849.0,6220.0,15525.0,15523.0,16357.0,3085.0,1363.0,65871.0
2015,1096.0,383.0,528.0,634.0,1174.0,3313.0,4662.0,12684.0,23795.0,19531.0,4731.0,2563.0,75094.0
2016,392.0,1048.0,767.0,1449.0,1782.0,3187.0,8675.0,13730.0,13256.0,9968.0,3647.0,932.0,58833.0
2017,491.0,376.0,687.0,696.0,1428.0,2858.0,6258.0,10815.0,26975.0,12393.0,2345.0,1440.0,66762.0
2018,521.0,235.0,842.0,549.0,1729.0,2922.0,5220.0,7992.0,11467.0,5041.0,1763.0,1168.0,39449.0
2019,1213.0,574.0,936.0,753.0,1719.0,4088.0,5346.0,12906.0,22989.0,8356.0,3251.0,1743.0,63874.0
2020,662.0,709.0,890.0,1158.0,1481.0,3487.0,5663.0,10155.0,21802.0,13440.0,2957.0,1415.0,63819.0
2021,625.0,607.0,686.0,820.0,2649.0,4181.0,6955.0,15043.0,19939.0,8389.0,1901.0,933.0,62728.0
2022,763.0,685.0,751.0,853.0,3578.0,4239.0,6713.0,10567.0,13651.0,11594.0,2154.0,1337.0,56885.0
2023,585.0,759.0,845.0,993.0,2668.0,4472.0,6459.0,6850.0,13230.0,8371.0,3242.0,2239.0,50713.0
2024,1044.0,795.0,1806.0,930.0,3437.0,5217.0,7463.0,18620.0,29319.0,8024.0,2944.0,1869.0,81468.0
2025,726.0,634.0,691.0,595.0,2527.0,3681.0,5303.0,8615.0,14543.0,2154.0,,,39469.0
Máximo*,1213.0,1048.0,1806.0,1449.0,3578.0,7079.0,12359.0,35678.0,52491.0,23550.0,8243.0,2792.0,137918.0
Média*,599.0,501.0,641.0,810.0,1886.0,3858.0,6494.0,13812.0,22291.0,11997.0,3432.0,1470.0,67626.0
Mínimo*,182.0,89.0,69.0,253.0,713.0,1641.0,2530.0,6492.0,9851.0,5041.0,1095.0,372.0,34393.0
