,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,303.0,477.0,687.0,1678.0,1260.0,522.0,323.0,5250.0
1999,299.0,273.0,310.0,163.0,368.0,303.0,563.0,2581.0,3306.0,1688.0,1222.0,520.0,11596.0
2000,241.0,186.0,219.0,135.0,204.0,432.0,598.0,1746.0,1100.0,2369.0,230.0,237.0,7697.0
2001,87.0,120.0,40.0,92.0,185.0,244.0,590.0,1159.0,1418.0,997.0,495.0,311.0,5738.0
2002,251.0,226.0,209.0,352.0,263.0,485.0,1829.0,6548.0,6764.0,4896.0,2441.0,1672.0,25936.0
2003,1151.0,682.0,834.0,1263.0,1744.0,2500.0,3144.0,9826.0,11963.0,7588.0,2147.0,1589.0,44431.0
2004,572.0,469.0,712.0,692.0,318.0,1335.0,1558.0,5778.0,7396.0,5344.0,2624.0,1316.0,28114.0
2005,751.0,578.0,866.0,551.0,907.0,939.0,1721.0,5494.0,2632.0,5719.0,2331.0,784.0,23273.0
2006,616.0,782.0,743.0,781.0,1510.0,1433.0,3651.0,6807.0,5120.0,1884.0,1005.0,546.0,24878.0
2007,400.0,450.0,672.0,569.0,710.0,1532.0,1940.0,5055.0,7170.0,6451.0,3283.0,979.0,29211.0
2008,490.0,527.0,478.0,489.0,1019.0,523.0,2436.0,3209.0,4094.0,3983.0,2154.0,930.0,20332.0
2009,507.0,333.0,617.0,660.0,625.0,687.0,723.0,4198.0,1831.0,2317.0,815.0,626.0,13939.0
2010,537.0,656.0,390.0,387.0,430.0,1098.0,1718.0,6473.0,5026.0,2561.0,835.0,496.0,20607.0
2011,273.0,362.0,322.0,254.0,552.0,855.0,1450.0,3191.0,7050.0,1836.0,618.0,444.0,17207.0
2012,317.0,452.0,689.0,609.0,687.0,500.0,1052.0,2810.0,3082.0,3077.0,763.0,660.0,14698.0
2013,412.0,429.0,548.0,488.0,478.0,356.0,1087.0,2280.0,2839.0,1454.0,508.0,505.0,11384.0
2014,422.0,434.0,256.0,317.0,445.0,487.0,965.0,3912.0,3493.0,4168.0,432.0,366.0,15697.0
2015,638.0,389.0,384.0,371.0,349.0,539.0,528.0,2414.0,3219.0,2991.0,1852.0,1251.0,14925.0
2016,579.0,457.0,536.0,732.0,437.0,901.0,3155.0,4165.0,4146.0,1210.0,763.0,438.0,17519.0
2017,385.0,309.0,328.0,261.0,187.0,531.0,2285.0,3201.0,4939.0,2003.0,818.0,347.0,15594.0
2018,209.0,264.0,321.0,490.0,699.0,613.0,1813.0,2338.0,2309.0,1243.0,450.0,547.0,11296.0
2019,608.0,607.0,661.0,276.0,240.0,814.0,1712.0,4689.0,4333.0,2184.0,1499.0,554.0,18177.0
2020,421.0,454.0,549.0,1013.0,1028.0,802.0,1322.0,4079.0,4279.0,2553.0,676.0,336.0,17512.0
2021,285.0,405.0,808.0,769.0,990.0,495.0,2820.0,5087.0,4756.0,1501.0,558.0,358.0,18832.0
2022,379.0,401.0,335.0,289.0,480.0,649.0,1454.0,2494.0,2082.0,1464.0,606.0,283.0,10916.0
2023,298.0,271.0,503.0,324.0,659.0,673.0,1040.0,2465.0,1872.0,1123.0,1498.0,976.0,11702.0
2024,440.0,359.0,612.0,357.0,794.0,1365.0,1739.0,6033.0,6715.0,1914.0,515.0,485.0,21328.0
2025,410.0,466.0,573.0,334.0,476.0,360.0,1494.0,2384.0,2855.0,235.0,,,9587.0
Máximo*,1151.0,782.0,866.0,1263.0,1744.0,2500.0,3651.0,9826.0,11963.0,7588.0,3283.0,1672.0,44431.0
Média*,445.0,418.0,498.0,488.0,627.0,792.0,1606.0,4027.0,4245.0,2807.0,1173.0,662.0,17696.0
Mínimo*,87.0,120.0,40.0,92.0,185.0,244.0,477.0,687.0,1100.0,997.0,230.0,237.0,5250.0
